Age,Annual_Income,Employment_Years,Credit_Score,Loan_Amount,Loan_Term_Months,Debt_To_Income_Ratio,Previous_Defaults,Dependents,Home_Owner,Default
27,915872,18,811,466536,48,0.42,0,3,No,0
64,331817,4,691,280088,36,0.23,2,1,Yes,0
28,1346154,22,656,335566,24,0.34,0,2,No,0
67,610055,18,655,375258,36,0.36,0,1,No,0
55,507578,13,680,738235,48,0.69,0,1,Yes,0
34,1443105,9,737,834862,36,0.36,0,1,Yes,0
37,903750,30,695,399519,48,0.54,0,1,No,0
56,1010229,12,697,281886,36,0.72,0,0,No,0
60,1019918,21,606,1007447,48,0.4,0,1,No,0
24,738203,36,656,704753,36,0.34,0,0,Yes,0
22,628278,38,692,306167,24,0.73,0,2,No,0
26,677222,9,677,589875,60,0.63,0,0,Yes,0
62,1282659,30,646,396935,48,0.71,0,3,No,1
24,861136,34,639,178706,60,0.33,0,0,Yes,0
49,1193874,12,714,422487,36,0.54,0,3,No,0
38,777066,29,716,157332,48,0.22,0,2,No,0
46,573384,33,759,379864,60,0.66,0,1,No,0
64,367335,35,695,403309,12,0.7,0,0,Yes,1
54,994400,34,513,365068,60,0.24,0,1,Yes,0
30,1308229,3,850,727738,24,0.12,0,2,Yes,0
56,534208,3,679,601081,12,0.19,2,1,Yes,0
34,954011,5,647,340187,24,0.49,1,1,No,0
51,387315,27,675,580672,36,0.24,0,0,Yes,0
68,633290,29,648,826488,12,0.5,0,1,Yes,0
35,880381,26,614,292517,12,0.3,0,2,Yes,0
28,281511,4,729,171479,36,0.69,0,0,Yes,0
34,794593,38,668,228863,36,0.37,0,4,No,0
43,548989,34,672,594129,48,0.4,0,3,Yes,0
60,981427,38,479,872456,24,0.29,2,1,Yes,1
41,750379,14,661,711953,24,0.1,0,2,Yes,0
36,1081831,18,593,821231,12,0.4,0,2,Yes,0
65,716120,29,638,50000,36,0.59,0,0,Yes,0
38,391286,37,698,291665,36,0.72,0,1,No,0
67,353911,31,630,220544,36,0.1,0,0,No,0
44,227297,39,641,639654,36,0.61,0,1,No,1
46,989887,28,687,450164,48,0.24,0,3,Yes,0
45,1567319,5,639,50000,24,0.63,0,2,Yes,0
65,930571,25,595,689922,36,0.29,0,0,Yes,0
61,1301614,26,542,792020,24,0.13,0,2,Yes,0
49,1140071,34,706,1002358,24,0.48,0,4,No,0
35,644499,27,638,541261,24,0.68,0,0,Yes,0
65,1179594,4,546,654756,36,0.18,0,2,Yes,0
21,656427,15,779,214679,36,0.07,0,3,Yes,0
45,662387,17,707,89582,60,0.67,0,3,Yes,0
27,737422,12,584,810876,60,0.54,0,2,Yes,0
29,751640,24,623,636769,36,0.62,0,3,No,0
44,998410,9,763,812169,24,0.09,0,0,No,0
21,598733,28,665,436064,48,0.67,0,0,No,0
64,1066730,9,646,1092517,48,0.34,0,0,Yes,0
28,1062423,5,740,578271,48,0.68,2,0,Yes,1
44,902889,15,666,311599,12,0.1,0,0,Yes,0
31,1381883,24,778,420512,48,0.67,0,3,Yes,0
37,1186217,3,646,99032,60,0.52,0,3,No,0
28,1120918,36,634,264415,36,0.44,0,1,Yes,0
55,819846,33,681,403224,48,0.09,1,4,Yes,0
55,905529,18,757,887446,48,0.53,0,1,No,0
53,957142,32,699,483544,36,0.47,0,0,Yes,0
25,803972,3,688,771091,48,0.56,0,2,No,0
62,687329,33,615,475035,48,0.55,0,1,Yes,0
59,200000,11,603,243477,60,0.36,0,0,No,0
61,1015329,30,757,636375,60,0.19,0,4,Yes,0
48,1112434,15,765,288799,36,0.69,0,2,Yes,0
27,451664,1,763,400739,12,0.7,0,2,No,0
29,981550,1,743,1007898,12,0.2,0,4,No,0
28,622541,35,715,651128,60,0.49,0,3,No,0
32,690041,5,714,294922,36,0.19,0,1,No,0
54,1193228,22,690,683026,36,0.65,0,0,Yes,0
53,502809,38,724,265555,36,0.12,0,0,No,0
68,502355,36,676,61482,24,0.74,0,1,Yes,0
43,1341450,15,724,773123,36,0.48,2,4,Yes,0
44,756332,18,753,573708,48,0.07,0,3,Yes,0
57,1173963,23,579,450688,24,0.67,0,0,Yes,1
55,320389,26,767,83642,48,0.53,0,4,Yes,0
64,344419,6,675,421168,48,0.54,0,1,No,0
60,526116,29,796,548056,36,0.24,0,2,Yes,0
42,655561,13,781,208606,36,0.29,0,0,Yes,0
47,379014,14,597,510564,60,0.69,0,0,No,1
55,910788,11,680,887579,36,0.49,0,1,No,0
21,930378,28,530,556654,36,0.06,0,2,No,0
55,530557,22,649,646084,36,0.28,0,1,Yes,0
57,554420,12,708,390042,60,0.47,0,3,Yes,0
67,593965,8,747,237226,36,0.15,0,3,No,0
34,450534,23,685,359615,48,0.12,0,0,Yes,0
23,200000,38,715,763733,36,0.09,0,2,Yes,0
21,774487,29,623,475682,24,0.49,0,0,Yes,0
25,670868,0,678,449439,24,0.27,0,1,No,0
46,701556,9,632,373600,24,0.31,0,3,Yes,0
34,496458,37,702,182136,12,0.09,0,1,Yes,0
59,1043149,14,791,841842,36,0.57,0,3,No,0
47,1527617,8,675,447982,24,0.59,1,1,No,0
29,549774,12,570,367115,60,0.63,0,1,No,1
35,1219908,22,695,519930,60,0.51,0,4,No,0
35,909994,32,736,367610,36,0.59,0,1,Yes,0
46,810625,8,606,578222,36,0.45,0,2,Yes,0
62,696763,2,779,328855,36,0.39,0,2,No,0
33,775034,29,632,530898,36,0.23,0,0,No,0
52,1144877,8,619,486857,36,0.09,0,1,No,0
59,458575,24,537,963867,36,0.25,0,0,Yes,0
69,717497,23,701,977615,36,0.53,1,2,Yes,0
52,1174700,31,825,696868,36,0.7,0,1,No,0
24,1095114,6,709,477926,36,0.23,0,0,No,0
50,463224,35,621,700766,48,0.52,0,2,No,0
57,745222,24,721,692802,60,0.38,0,3,Yes,0
43,1018402,19,744,382449,48,0.49,0,2,Yes,0
59,999028,16,772,87589,36,0.05,0,1,Yes,0
65,1092540,35,581,50000,48,0.14,0,2,No,0
35,915285,25,804,470245,36,0.2,0,2,Yes,0
63,965585,18,697,373758,48,0.68,0,1,Yes,0
49,902838,36,820,363968,60,0.08,0,2,No,0
56,1273919,2,692,298835,24,0.45,0,2,No,0
33,673456,27,726,287977,24,0.7,0,2,No,0
52,814457,21,604,663710,36,0.51,0,4,Yes,0
27,495509,18,758,50000,12,0.39,0,2,No,0
42,436393,15,593,647066,48,0.32,1,1,Yes,1
48,897487,5,701,430989,48,0.49,0,1,No,0
22,582744,36,645,860185,36,0.39,0,0,No,0
62,782694,30,672,566579,36,0.54,0,0,Yes,0
65,1285324,33,766,66726,36,0.48,0,0,Yes,0
26,1267981,30,651,50000,12,0.45,0,4,No,0
48,1467213,10,768,214395,48,0.72,1,2,Yes,1
48,1291295,35,647,566159,36,0.63,0,0,Yes,0
64,1520905,5,690,71781,36,0.48,0,1,No,0
64,930958,26,850,527592,48,0.43,0,0,Yes,0
40,529093,6,689,675603,48,0.56,0,1,No,0
50,499882,31,673,368014,12,0.61,0,2,Yes,0
31,1218899,7,691,277992,48,0.26,0,2,No,0
48,815487,32,653,50000,36,0.52,0,3,Yes,0
45,837839,14,599,877524,48,0.14,0,0,Yes,0
59,635278,26,844,956692,24,0.35,0,1,Yes,0
53,671247,29,647,804956,24,0.71,0,2,No,0
21,915127,21,558,430842,48,0.28,0,3,Yes,0
47,483432,28,667,486584,36,0.16,0,1,Yes,0
33,877141,29,708,671400,36,0.15,0,1,Yes,0
61,1253324,1,663,536659,36,0.33,0,1,Yes,0
23,200000,14,676,50000,36,0.21,0,0,Yes,0
59,337606,26,666,729531,12,0.35,1,4,Yes,0
26,1002682,6,714,804735,36,0.55,0,2,No,0
28,1209190,26,745,767946,12,0.67,0,1,Yes,0
47,653032,20,664,613069,36,0.13,0,2,Yes,0
29,200527,12,850,739516,60,0.59,0,1,Yes,0
57,1229577,16,763,146785,36,0.12,0,1,Yes,0
53,556680,10,679,476609,48,0.32,0,0,Yes,0
62,691626,9,574,332837,24,0.75,0,3,Yes,0
64,895713,32,689,862848,60,0.1,0,4,Yes,0
44,600069,13,745,545991,36,0.07,0,3,Yes,0
35,537161,36,745,460242,36,0.28,0,0,No,0
52,542659,7,531,245524,48,0.72,0,3,Yes,0
52,1357378,32,689,235176,36,0.06,0,1,No,0
44,1147884,6,641,217850,36,0.21,1,3,No,0
61,972355,33,799,686287,12,0.47,0,1,Yes,0
69,200000,6,689,649489,24,0.21,0,0,Yes,0
69,973457,6,497,562526,48,0.09,0,3,Yes,0
32,957260,35,709,697787,60,0.09,0,0,Yes,0
59,416560,6,524,298620,24,0.44,0,1,Yes,0
22,877613,19,716,50000,36,0.44,0,1,Yes,0
23,1115447,17,850,670827,12,0.54,1,2,No,0
69,970809,13,788,485937,24,0.14,0,2,Yes,0
57,595949,39,700,708211,36,0.4,0,2,No,0
69,803979,13,627,606522,48,0.47,1,0,Yes,0
37,1019107,20,781,481617,12,0.21,0,3,No,0
69,817835,26,730,551396,48,0.43,0,1,Yes,0
22,1176285,25,658,852272,24,0.55,0,0,No,0
22,918704,26,636,427470,48,0.74,0,1,Yes,1
48,1025876,23,607,684190,36,0.47,0,3,No,0
43,1046420,4,709,577271,36,0.65,0,0,Yes,1
57,479995,37,646,81333,48,0.63,0,3,No,0
52,814995,27,693,171487,24,0.71,2,3,Yes,0
53,700293,31,754,490096,24,0.56,0,1,Yes,0
21,1113153,23,644,375576,12,0.2,0,3,Yes,0
39,938969,5,731,262479,36,0.26,0,0,No,0
22,743536,9,777,767684,12,0.6,0,0,No,1
64,415444,2,711,126148,36,0.41,0,2,Yes,0
46,320927,6,735,450339,12,0.23,1,2,Yes,0
52,893102,28,712,281499,24,0.51,0,0,Yes,0
26,584836,33,681,870695,60,0.68,0,1,Yes,0
52,999837,6,746,1129379,48,0.3,1,1,No,1
24,307057,16,808,422194,24,0.47,0,0,Yes,0
31,1277885,12,748,712154,48,0.46,1,1,Yes,0
37,999159,20,664,817437,48,0.14,0,2,Yes,0
58,829755,30,666,724681,24,0.11,0,0,Yes,0
44,1304917,8,669,697761,36,0.67,0,2,Yes,0
25,1084525,12,755,56791,60,0.7,2,0,Yes,0
54,657499,16,637,794076,48,0.68,0,2,Yes,0
26,823272,7,598,589818,48,0.33,0,1,No,0
42,210717,8,717,442738,36,0.25,0,1,No,0
31,1119257,8,681,480474,48,0.71,0,3,Yes,0
68,711214,39,798,564462,36,0.67,0,2,Yes,0
36,206832,29,499,436498,48,0.62,0,0,No,1
53,445448,6,696,411271,48,0.28,0,3,Yes,0
29,1061273,16,647,255578,12,0.5,0,1,Yes,0
26,1284140,38,744,627542,36,0.58,0,1,No,0
36,806127,37,657,459606,36,0.45,0,1,Yes,0
49,505384,4,633,301773,12,0.47,1,0,No,0
23,373775,16,754,524443,36,0.58,0,3,No,0
40,1224384,39,782,510707,60,0.59,0,1,Yes,0
56,934840,0,672,626454,60,0.22,0,1,Yes,0
39,700958,15,673,492529,48,0.32,0,0,Yes,0
46,629518,16,781,654205,24,0.6,0,3,No,0
23,1001548,29,772,431726,36,0.23,2,4,No,0
39,993295,30,762,449714,24,0.69,0,3,Yes,0
40,531024,34,647,569390,48,0.64,0,0,Yes,0
52,457288,7,627,596786,48,0.68,0,2,Yes,0
27,472429,29,810,802904,60,0.26,0,0,Yes,0
61,659532,38,728,761930,60,0.12,0,0,Yes,0
53,593064,20,620,489099,12,0.12,0,1,Yes,0
60,1285427,14,671,147464,24,0.44,0,2,Yes,0
59,648865,33,686,671005,60,0.26,0,0,Yes,0
38,425100,26,671,631953,48,0.23,0,2,Yes,0
60,441950,1,656,554255,36,0.21,1,3,No,0
21,744808,9,778,693300,36,0.44,0,0,No,0
31,253362,4,722,407854,36,0.43,0,1,Yes,1
48,781963,26,850,101243,36,0.35,0,1,Yes,0
45,399137,3,782,281410,24,0.15,0,3,No,0
43,1147583,12,690,50000,36,0.7,0,2,Yes,0
51,834968,16,793,610959,36,0.35,0,2,Yes,0
50,1436307,20,708,483493,24,0.14,0,2,Yes,0
62,731539,22,850,715175,60,0.08,0,2,No,0
55,200000,32,654,688390,24,0.16,0,1,Yes,0
27,1237304,14,716,377548,36,0.26,0,1,Yes,0
36,950576,13,631,293871,36,0.49,0,1,Yes,0
46,997072,8,649,303062,36,0.73,0,3,Yes,0
68,499224,36,652,978771,24,0.24,1,2,Yes,0
69,787145,29,778,462166,36,0.6,0,4,Yes,0
22,855938,28,696,431635,12,0.69,0,0,Yes,0
21,728653,22,483,572861,36,0.32,1,1,No,1
68,279691,33,687,103375,24,0.23,0,0,No,0
32,1630607,6,602,400698,24,0.39,0,1,No,0
25,1050748,8,644,285838,60,0.68,0,2,No,0
57,926175,3,772,233415,48,0.06,0,3,Yes,0
52,1194165,1,572,434463,24,0.39,0,0,Yes,0
29,993257,26,581,511810,60,0.58,0,4,Yes,0
61,596839,32,547,186265,24,0.47,0,3,Yes,0
55,1174934,31,649,408601,24,0.4,0,3,No,0
39,1055664,36,544,519994,24,0.44,0,1,No,0
68,608214,26,551,612897,48,0.48,0,1,Yes,0
36,1037004,27,661,431789,36,0.53,1,0,Yes,1
23,727828,2,705,582507,12,0.3,0,1,Yes,0
40,862543,35,607,411936,12,0.41,0,0,No,0
44,979895,7,708,820368,36,0.24,0,3,Yes,0
53,1210549,36,688,636004,48,0.74,0,2,No,0
44,606201,37,723,332207,48,0.18,0,0,Yes,0
31,909488,21,596,376168,36,0.16,0,3,No,0
69,1404717,13,838,598070,48,0.24,0,0,Yes,0
28,747185,14,588,368741,48,0.69,0,3,No,1
56,858967,3,629,50000,36,0.51,0,0,Yes,0
58,1404269,17,721,573930,36,0.37,0,2,Yes,0
60,991243,0,689,404173,24,0.7,1,2,Yes,1
40,357805,11,747,669965,36,0.68,0,2,No,1
55,561356,16,655,510210,48,0.33,1,2,No,0
68,1006873,18,581,661473,24,0.44,0,1,Yes,0
45,926901,35,557,1129758,36,0.68,0,1,Yes,1
55,848773,6,822,820519,36,0.27,1,3,No,0
45,1448367,8,655,412325,24,0.34,0,1,Yes,0
49,614753,7,666,605791,24,0.61,0,3,Yes,0
38,777675,24,824,529402,24,0.54,0,2,Yes,0
66,211066,6,640,567099,36,0.08,0,2,No,0
38,1148197,7,681,108103,36,0.13,0,4,No,0
22,560344,23,597,763603,36,0.64,0,2,Yes,0
55,1117141,16,575,50000,12,0.07,0,2,No,0
36,1085609,11,831,495717,36,0.69,0,3,Yes,0
61,1504729,30,832,60837,12,0.24,0,0,No,0
56,994782,11,761,324130,24,0.47,0,4,No,0
53,693174,1,759,552411,36,0.45,0,1,No,0
24,936086,11,740,717156,48,0.33,0,2,Yes,0
53,572224,26,620,755497,48,0.07,0,4,No,0
34,895748,6,703,451742,12,0.18,0,2,Yes,0
41,739729,12,639,747629,36,0.48,0,0,No,0
68,778898,35,472,484345,36,0.36,0,1,Yes,0
40,530490,0,769,321952,48,0.34,0,1,No,0
28,890133,34,724,593326,24,0.12,0,2,No,0
27,1047269,29,574,270625,48,0.29,0,2,Yes,0
23,304370,30,651,466702,36,0.42,0,2,No,0
37,593422,16,764,380324,48,0.1,0,3,No,0
53,850414,7,690,112489,60,0.1,0,0,No,0
68,200000,2,544,582392,60,0.39,2,1,Yes,0
32,1322079,9,582,535999,36,0.44,0,1,Yes,0
42,586666,33,828,787627,60,0.23,2,0,Yes,0
42,518573,21,685,50000,24,0.28,2,1,No,0
66,737797,3,764,321676,12,0.61,0,1,No,0
50,841211,31,827,781999,36,0.66,1,1,No,1
58,573058,28,643,632392,60,0.28,0,0,No,0
58,1094124,10,708,681093,48,0.3,0,1,Yes,0
65,919911,12,522,862936,36,0.63,0,2,Yes,1
28,548827,3,631,308889,48,0.73,0,3,Yes,0
47,643278,1,726,283949,12,0.27,0,2,No,0
47,344969,33,664,713986,36,0.6,0,1,Yes,0
54,423997,21,716,658440,24,0.39,0,1,No,0
41,916279,4,754,468698,12,0.23,0,0,No,0
50,551940,8,724,461574,24,0.53,0,0,No,0
53,1341285,19,706,257257,48,0.37,1,3,No,0
48,821276,20,695,894616,36,0.24,1,3,Yes,0
67,394152,16,634,1006614,12,0.13,0,0,No,0
53,456995,11,606,779275,36,0.66,0,3,No,0
25,1115890,27,788,663228,48,0.67,1,2,Yes,1
68,777045,17,743,647470,60,0.1,0,3,No,0
39,1097598,2,616,582752,60,0.51,0,1,No,0
24,690053,4,685,59347,12,0.16,0,0,Yes,0
55,631930,13,568,381051,24,0.5,0,1,Yes,0
69,1135834,25,641,704946,24,0.69,0,1,Yes,0
37,542426,18,722,288256,36,0.23,0,2,Yes,0
64,946716,16,700,538856,36,0.29,0,3,Yes,0
48,736464,38,689,789238,24,0.61,0,2,Yes,0
50,1063617,3,609,793247,60,0.56,0,1,Yes,0
49,1345545,34,593,734293,48,0.34,0,2,No,0
66,682346,23,755,570922,36,0.64,1,1,Yes,1
26,635857,12,815,699446,36,0.69,0,4,No,0
55,999742,32,723,439651,36,0.37,0,0,No,0
61,475398,14,666,925771,36,0.08,1,2,No,0
57,1284939,14,778,102307,60,0.41,0,0,Yes,0
44,1233806,30,612,516986,24,0.57,0,1,No,0
49,500264,27,764,382210,48,0.2,0,2,No,0
69,325062,9,632,670602,24,0.12,0,2,No,0
66,451826,6,636,415126,36,0.25,0,0,No,0
51,456389,32,653,1104531,36,0.06,0,2,Yes,0
55,1040528,6,671,728930,12,0.55,0,0,Yes,0
53,1264751,4,753,250351,24,0.15,1,4,Yes,1
41,1037037,25,575,50000,12,0.56,1,2,Yes,0
52,729142,15,631,215512,36,0.21,0,0,Yes,0
43,902749,7,696,640368,36,0.74,0,0,Yes,0
53,539066,21,724,434181,60,0.42,1,0,No,0
23,1129162,33,543,356570,24,0.08,0,0,No,0
38,929608,39,616,319152,24,0.59,0,2,No,0
45,1031959,27,540,707456,36,0.34,0,0,No,0
62,581739,35,624,417220,24,0.48,0,1,No,0
51,749420,6,645,391217,12,0.72,0,0,Yes,0
23,1017521,39,720,748624,36,0.41,0,2,No,0
60,1233053,27,496,890503,60,0.61,1,2,No,1
66,617570,1,732,221532,60,0.26,0,2,No,0
44,1034135,8,639,794535,24,0.55,0,4,No,0
52,586378,5,652,472381,24,0.12,0,1,No,0
67,1435158,0,757,729547,36,0.68,0,0,Yes,0
42,675552,2,787,663894,36,0.19,0,4,Yes,0
43,993051,9,627,505007,48,0.26,1,0,No,0
22,849682,36,627,515589,36,0.72,0,3,Yes,0
47,1581590,22,651,667067,12,0.16,1,0,No,0
62,868970,32,626,225878,24,0.23,0,2,No,0
22,645483,8,565,214300,60,0.46,0,1,No,0
46,991851,12,677,1020228,36,0.74,0,3,No,0
37,985172,27,627,791924,48,0.53,0,2,No,0
60,752759,6,687,748111,36,0.13,0,0,No,0
53,471570,25,816,460961,48,0.57,0,2,No,0
29,641600,15,671,90283,24,0.35,0,0,Yes,0
63,1064449,39,619,367445,48,0.74,1,0,Yes,1
68,275765,25,658,602515,48,0.49,0,0,Yes,0
59,725586,38,690,787705,12,0.42,0,0,No,0
49,1098459,31,666,607082,24,0.44,0,2,Yes,0
62,771951,35,634,614071,36,0.5,0,4,Yes,0
46,1452113,0,547,457146,36,0.56,0,2,Yes,0
55,276604,20,730,662433,36,0.1,0,2,Yes,0
45,511589,12,608,272728,48,0.14,0,2,No,0
44,200000,25,796,531059,48,0.26,0,3,No,0
33,1398107,8,650,442651,36,0.38,0,1,Yes,0
27,516503,36,638,861350,36,0.27,0,2,No,0
56,203923,22,642,50000,12,0.2,0,0,Yes,0
65,616424,0,692,462077,24,0.7,0,1,No,0
40,382157,1,610,562306,36,0.07,0,0,No,0
21,618564,27,625,50000,48,0.71,1,0,Yes,1
28,812368,35,729,685127,48,0.69,0,0,No,0
66,1041476,30,598,467099,48,0.53,0,4,No,0
36,747599,4,723,261511,36,0.07,0,0,Yes,0
34,807587,36,746,754626,24,0.21,0,2,Yes,0
32,625521,24,733,314045,36,0.74,0,3,Yes,0
43,346490,7,698,702138,12,0.68,1,1,No,1
35,246037,33,535,546659,36,0.73,0,2,No,1
48,690654,38,583,397505,12,0.75,2,1,No,0
54,825391,31,571,247662,24,0.09,0,1,No,0
22,668415,10,649,321629,36,0.45,0,3,Yes,0
52,257201,24,682,719947,12,0.63,0,0,Yes,1
43,860420,2,584,788259,36,0.27,0,1,No,0
42,1288791,31,666,673725,36,0.35,0,0,Yes,0
45,765606,34,734,492705,48,0.25,0,1,No,0
42,626140,31,600,673220,12,0.08,0,2,Yes,0
42,781851,33,614,579094,12,0.1,0,4,Yes,0
69,468686,36,774,349515,48,0.07,0,0,No,0
62,449330,4,605,271005,24,0.42,0,0,No,0
26,935424,27,707,421601,60,0.48,0,0,Yes,0
35,1097096,27,779,341342,24,0.27,0,4,Yes,0
63,755870,7,585,532459,36,0.63,0,1,No,0
57,207870,26,591,901550,24,0.67,0,1,Yes,0
53,906004,15,661,569968,36,0.15,0,2,No,0
28,1420214,17,685,867298,60,0.09,0,0,Yes,0
64,726830,24,628,500130,36,0.27,0,1,Yes,0
64,746646,0,837,458057,48,0.55,0,0,Yes,0
25,538209,7,723,121242,24,0.41,0,4,No,0
59,944406,20,615,659947,60,0.39,0,1,No,0
24,598704,33,570,335977,36,0.16,0,1,Yes,0
26,1106450,23,674,284842,24,0.3,0,2,Yes,0
65,602725,36,715,246709,12,0.72,0,0,No,0
52,902537,25,827,588472,12,0.29,0,2,Yes,0
50,786096,13,686,355519,12,0.46,0,1,No,0
67,1266533,28,660,911677,60,0.09,0,0,Yes,0
55,922843,29,601,779753,36,0.09,0,1,Yes,0
60,1216102,2,709,366463,24,0.35,0,4,Yes,0
36,832587,6,761,50000,36,0.47,0,3,Yes,0
33,748777,35,537,529595,36,0.31,0,4,Yes,0
62,788542,10,685,422487,24,0.18,0,3,No,0
50,568577,31,598,722481,12,0.57,0,3,No,1
39,959500,11,571,503365,24,0.15,0,1,Yes,0
37,592892,14,815,787737,36,0.52,0,2,Yes,0
39,833738,37,750,623318,36,0.72,0,1,Yes,0
48,1056560,23,631,180829,60,0.38,0,1,Yes,0
46,1275064,0,667,313264,36,0.19,0,3,Yes,0
57,848858,17,654,386387,36,0.64,0,0,Yes,0
46,1058362,6,589,457886,60,0.4,0,1,Yes,0
43,1022566,1,636,432588,36,0.7,0,3,No,0
29,685286,39,742,679607,36,0.55,0,2,Yes,0
32,1432341,30,634,625701,36,0.35,1,0,No,0
21,627127,32,717,394715,48,0.48,1,0,No,1
21,827298,29,635,665688,36,0.17,0,2,No,0
67,1236235,30,585,207216,36,0.32,0,2,Yes,0
54,1228837,33,775,674785,36,0.47,1,2,Yes,0
52,804296,6,509,717240,36,0.46,0,1,Yes,0
68,1097125,24,822,568874,48,0.46,1,1,Yes,0
45,732808,15,759,631422,36,0.57,0,2,Yes,0
60,653396,21,694,664283,24,0.12,1,3,Yes,0
65,436163,35,644,761929,36,0.1,0,1,Yes,0
21,1017164,26,650,685454,60,0.15,2,0,No,0
36,1048766,16,696,801875,48,0.6,0,2,Yes,0
59,629633,3,694,106765,36,0.1,0,0,Yes,0
25,880430,34,603,533109,60,0.21,0,2,Yes,0
42,1595296,21,685,488513,36,0.23,0,0,No,0
49,1144004,34,700,538062,60,0.5,0,1,No,0
23,529554,14,655,725233,24,0.33,1,2,Yes,0
32,1100468,39,850,532248,60,0.19,0,1,No,0
46,530941,20,669,522140,12,0.36,0,3,Yes,0
36,200000,12,538,616758,48,0.53,0,1,Yes,1
57,793876,10,599,123349,48,0.6,2,0,Yes,1
42,1268960,26,736,889006,48,0.14,0,1,No,0
49,1219234,30,622,473811,48,0.55,0,4,No,0
34,913170,31,600,869253,36,0.05,0,3,Yes,0
48,637481,29,791,286346,12,0.56,0,1,No,0
25,945934,17,693,271911,36,0.51,0,0,Yes,0
67,719251,15,631,443109,36,0.38,0,1,Yes,0
69,645903,34,458,508953,36,0.15,0,2,Yes,0
50,1118600,8,729,373065,24,0.59,0,3,No,0
66,642189,38,681,298871,24,0.1,0,2,Yes,0
25,1138170,36,784,592625,36,0.68,0,3,No,0
32,622344,9,592,862449,48,0.59,0,2,Yes,0
36,1417547,11,650,914803,60,0.57,0,0,Yes,0
46,307809,7,703,426659,12,0.58,0,3,Yes,0
46,512969,2,780,230159,60,0.1,0,0,Yes,0
68,753389,18,700,434283,60,0.74,1,1,No,0
41,204786,10,623,927873,12,0.65,0,3,No,0
59,200000,7,783,757188,36,0.41,0,4,Yes,0
56,207377,25,655,596422,36,0.55,0,1,No,0
53,712373,22,694,383241,36,0.57,1,1,Yes,0
50,719986,9,740,727994,36,0.63,0,1,Yes,0
57,899899,17,805,1065658,36,0.23,0,1,No,0
43,740899,11,709,464318,24,0.31,0,2,No,0
30,889854,38,850,50000,12,0.61,0,3,Yes,0
